arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
ci,20260527-224812,1,2026-05-27T22:49:36Z,2026-05-27T22:51:03Z,86,pass,pass,47.0,34.0,,620576e8-f012-4b36-ba80-afe58c85e683,72372b2e-4051-4dca-8a06-7ccd5a8c2746,7622,7623,4e02918,,23,23,0.0138,,,2294,0.097415
ci,20260527-224812,2,2026-05-27T22:51:27Z,2026-05-27T22:52:36Z,69,fail,pass,23.0,32.0,,d5666afd-fa5a-4aa5-bade-3ccf3e023520,a7d12017-50e8-402b-b46e-3b377fe860bf,7630,7628,bb7ab3e,,22,22,0.0132,,,856,0.038337
ci,20260527-224812,3,2026-05-27T22:55:57Z,2026-05-27T22:57:21Z,84,pass,pass,33.0,31.0,,1f039ecd-9c50-445a-885b-d7683066d9a8,f96a3f2d-e49d-4e5e-ac24-9b64a789a506,7632,7633,ecc607f,,23,23,0.0138,,,1204,0.062912
ci,20260527-224812,4,2026-05-27T22:58:18Z,2026-05-27T22:59:27Z,69,pass,pass,34.0,31.0,,e6ce4a1f-9822-4e1b-acec-473b8ba3cc4f,a1e3c376-9d97-4eb4-8806-69c4d11a1a5c,7638,7640,727b030,,23,23,0.0138,,,2632,0.131911
ci,20260527-224812,5,2026-05-27T23:00:05Z,2026-05-27T23:00:59Z,54,pass,fail,31.0,37.0,,a8dbb46d-1ad6-4e45-877c-0887709c5f73,c7815541-d706-468c-b0e1-46c01070aced,7643,7645,8a549ea,,19,19,0.0114,,,1245,0.055188
ci,20260527-224812,6,2026-05-27T23:01:46Z,2026-05-27T23:03:26Z,100,pass,pass,31.0,65.0,,bcd9efda-3107-4fc0-a65a-a76b40eef0d8,4fa4a6d0-baa3-432d-be1b-c1ab3d556191,7650,7649,65b8258,,29,29,0.0174,,,1809,0.080005
ci,20260527-224812,7,2026-05-27T23:03:59Z,2026-05-27T23:05:08Z,69,fail,fail,51.0,50.0,,f522c9c4-96f1-4890-bf2e-48ac0deafce9,1499827b-4720-44fd-bdbc-f0224df34605,7654,7652,cddc027,,25,25,0.015,,,963,0.040395
ci,20260527-224812,8,2026-05-27T23:06:27Z,2026-05-27T23:07:36Z,69,pass,pass,31.0,32.0,,929892f0-0284-41f5-a60a-839b501ea405,ce0975f4-c04f-41ed-9e80-e21303278b53,7658,7660,0b37d47,,23,23,0.0138,,,2940,0.139543
ci,20260527-224812,9,2026-05-27T23:08:45Z,2026-05-27T23:09:40Z,54,pass,pass,31.0,32.0,,fc9ab390-e402-4cdf-a3d3-2ad52cdff74e,d85c3c19-a057-4948-a9b0-b0442d5c0194,7662,7663,80d2715,,20,20,0.012,,,2635,0.110607
ci,20260527-224812,10,2026-05-27T23:10:53Z,2026-05-27T23:12:02Z,69,pass,pass,41.0,31.0,,51c876f0-81aa-48bc-9374-75bb4e106745,3923c695-c152-4e7d-a05e-1c38932106c7,7667,7669,6f57066,,22,22,0.0132,,,2733,0.109567
